,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage,Match,Pack size
399,25.0,cauliflower,25.8,"Oaklands, British cauliflower ",Oaklands ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: W0632(3) 4201 003821355 ,W0632(3) 4201 003821355 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 17.10.2011 
400,25.0,cauliflower,25.9,"Sainsbury’s, basics, cauliflower ",Sainsbury’s basics ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Sainsbury’s, Longwater , Norwich ",17-Oct,19-Oct,M0259A ,Plastic ,Ambient ,Refrig erated ,0.0,Purchase Date: 17.10.2011 
401,25.0,cauliflower,25.11,"Farm Fresh, cauliflower ",Farm Fresh ,Counts x2 ,17.10.2011 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 31/2 A22511 ,31/2 A22511 ,Plastic ,Refrigerated ,Refrigerated ,0.0,Counts x2 
402,25.0,cauliflower,25.12,"Tesco, cauliflower ",Tesco ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Tesco, Blue Boar Road , Norwich ",11-Jan,13-Jan,Supplier code: DG01 00385 01481  007204638 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
403,25.0,cauliflower,25.13,"Tesco, extra large cauliflower ",Tesco ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Tesco, Blue Boar Road , Norwich ",12-Jan,Batch Number: Supplier code DG01  0278 ,Supplier code DG01  0278 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
404,25.0,cauliflower,25.14,"Asda, cauliflower florets ",Asda ,400g ,09.01.2012 ,"Asda , Norwic h ",10-Jan,12-Jan,730000 ASL0804568 ,Plastic ,Ambient ,Refrigerated ,0.0,400g 
405,25.0,cauliflower,25.15,"Asda, extra large cauliflower ",Asda ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Asda , Norwich ",12-Jan,14-Jan,700018,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
406,25.0,cauliflower,25.16,"Sainsbury’s, cauliflower ",Sainsbury’s ,Purchase Date : 09.01.2012 ,,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 10 Jan ,10-Jan,M0259G 758 08.11 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date : 09.01.2012 
407,25.0,cauliflower,25.18,"The Co -operative, cauliflower ",The Co -operative ,Purchase Date: 09.01.2012 ,09.01.2012 ,"The Co -operative , Wymondham ",13-Jan,Batch Number: M253 ,M253 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
408,25.0,cauliflower,25.19,"Aldi, British cauliflower ",Aldi ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: L0205 Supplier no:939  E38081 ,L0205 Supplier no:939  E38081 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
409,25.0,cauliflower,25.2,"Sainsbu ry’s, basics, cauliflower ",Sainsbury’s basics ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Sainsbury’s, Longwater, Norwich ",10-Jan,12-Jan,M0259A ,Plastic ,,Refrigerated ,0.0,Purchase Date: 17.10.2011 
410,25.0,cauliflower,25.21,Market cauliflower ,Pack size: ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Independent market s tall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
411,25.0,cauliflower,25.22,"Farm Fresh, cauliflower ",Farm Fresh ,Counts x2 ,09.01.2012 ,"Booker, Norwich ",Best Before Date: ,Batch Number: 42/6  A22511 ,42/6  A22511 ,Plastic ,Refrigerated ,,0.0,Counts x2 
412,26.0,beans green,26.2,"Tesco, British green beans ",Tesco ,6.0,19.09.2011 ,"Tesco, East Dereham ",21-Sep,23-Sep,WD03 ,Plastic ,Ambient ,Refrigerated ,1.0,220g 
413,26.0,beans green,26.3,"Asda, Extra Special extra fine beans ",Asda Extra Special ,2.7,19.09.2011 ,"Asda, Norwich ",19-Sep,21-Sep,550185,Plastic ,Ambient ,Refrigerated ,1.0,200g 
414,26.0,beans green,26.4,"Asda, green beans ",Asda ,6.2,19.09.2011 ,"Asda, Norwich ",22-Sep,24-Sep,998000 ASL0908110 ,Plastic ,Ambient ,Refrigerated ,1.0,240g 
415,26.0,beans  green,26.6,"Morrisons, dwarf beans ",Morrisons ,7.5,19.09.2011 ,"Morrisons, Norwich ",20-Sep,22-Sep,,Plastic ,Ambient ,Refrigerated ,1.0,220g 
416,26.0,beans green,26.7,"Waitrose, fine green beans ",Waitrose ,3.3,19.09.2011 ,"Waitrose, Wymondham ",23-Sep,Batch Number: Supplier 284 KAB ,Supplier 284 KAB ,Plastic ,Ambient ,Refrigerated ,1.0,280g 
