,Composite Sample Number,Composite Sample Name,Sub_sampleNumber,Sub-sample Name,Sample Weight,Purchase Date,Place of Purchase,Packaging,Pack size
99,21.0,"celery, raw  ",21.3,Asda Grower’s Selection British celery hearts  ,216.7,26.08.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,Purchase Date:  
100,21.0,"celery, raw  ",21.4,Sainsbury’s celery  ,611.6,09.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,Purchase Date:  
101,21.0,"celery, raw  ",21.5,Morrisons celery  ,679.7,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,Purchase Date:  
102,21.0,"celery, raw  ",21.6,Simply M& S British celery  ,506.4,26.08.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,Purchase Date:  
103,21.0,"celery, raw  ",21.7,Oaklands British celery  ,528.2,26.08.15  ,"Lidl, Drayton Road, Norwich  ",Plastic  ,Purchase Date:  
104,21.0,"celery, raw  ",21.8,Tesco celery sticks  ,,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,350g  
105,21.0,"celery, raw  ",21.9,The Co -operative Love by Us British celery  ,598.9,26.08.15  ,"The Co -operative, Earlham Green Lane, Norwich  ",Plastic  ,Purchase Date:  
106,21.0,"celery, raw  ",21.1,G’s celery  ,,28.08.15  ,"Independent market stall, Norwich Market  ",Plastic  ,350g  
107,21.0,"celery, raw  ",21.11,G’s celery  ,448.0,24.08.15  ,Bidvest Foodservice delivery  ,Plastic  ,Purchase Date:  
108,7.0,"cherries, raw  ",7.1,Tesco cherries  ,10.7,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,Purchase Date:  
109,7.0,"cherries, raw  ",7.2,Tesco British cherries  ,14.9,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,250g  
110,7.0,"cherries, raw  ",7.3,Asda Grower’s Selection sweet & fragrant cherries  ,8.8,11.08.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,425g  
111,7.0,"cherries, raw  ",7.4,Sainsbury’s British cherries  ,8.7,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,250g  
112,7.0,"cherries, raw  ",7.5,Morrisons cherries  ,9.6,11.08.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,225g  
113,7.0,"cherries, raw  ",7.6,Waitrose  lusciously sweet & juicy cherries  ,7.6,18.11.15  ,"Waitrose, Wymondham  ",Plastic  ,180g  
114,7.0,"cherries, raw  ",7.7,Lidl cherries  ,13.0,18.11.15  ,"Lidl, Drayton Road, Norwich  ",Loose  ,Purchase Date:  
115,7.0,"cherries, raw  ",7.8,The Co -operative Loved by Us cherries  ,7.6,12.08.15  ,"The Co -operative, Unthank Road, Norwich  ",Plastic  ,200g  
116,7.0,"cherries, raw  ",7.9,Sainsbury’s cherries  ,9.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,200g  
117,7.0,"cherries, raw ",7.1,Market cherries  ,10.7,12.08.15  ,"Independent market stall, Norwich M arket  ",Loose  ,Purchase Date:  
118,7.0,"cherries, raw  ",7.11,Morrisons cherries  ,8.4,09.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,200g  
119,55.0,"chickpeas, canned, reheated  ",55.1,Tesco chickpeas in water  ,266.3,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 400g; drained weight: 240g  
120,55.0,"chickpeas, canned, reheated  ",55.2,Tesco chickpeas in water  ,136.2,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 210g; drained weight: 130g  
121,55.0,"chickpeas, canned, reheated  ",55.3,Asda Good & Balanced chickpeas in water  ,258.6,09.11.15  ,"Asda, Boundary Road, Norwich  ",Metal  ,400g; net drained weight: 240g  
122,55.0,"chickpeas, canned, reheated  ",55.4,Sainsbury’s chickpeas in water  ,272.5,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Metal  ,400g; drained weight: 240g  
123,55.0,"chickpeas, canned, reheated  ",55.5,Morrisons chickpeas  ,174.5,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Metal  ,300g; drained weight: 180g  
