,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
738,,"Grapes, red, raw ",44.1,"Tesco, red seedless grapes ",Pack size: ,Purchase Date: 14.11.2011 ,14.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: ,Batch Number: PLU 4023 1550 ,PLU 4023 1550 ,Plastic ,Ambient ,Refrigerated 
739,44,"Grapes, red, raw ",44.2,"Tesco, seedless red grapes ",Tesco ,,14.11.2011 ,"Tesco, Blue Boar Road, Norwich ",17-Nov,19-Nov,GA ,Plastic ,Ambient ,Refrigerated 
740,44,"Grapes, red, raw ",44.3,"Asda, red seedless grapes ",Pack size: ,Purchase Date: 14.11.2011 ,14.11.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: PLU 4023 ,PLU 4023 ,Plastic ,Ambient ,Refrigerated 
741,44,"Grapes, red, raw ",44.4,"Asda, Extra Special, grapes ",Asda Extra Special ,400g ,14.11.2011 ,"Asda, Norwich ",14-Nov,15-Nov,900375 375173  ,Plastic ,Ambient ,Refrigerated 
742,44,"Grapes, red, raw ",44.5,"Sainsbury’s, red seedless grapes ",Pack size: ,Purchase Date: 14.11.2011 ,14.11.2011 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: ,Batch Number: PLU 2424 ,PLU 2424 ,Plastic ,Ambient ,Refrigerated 
743,44,"Grapes, red, raw ",44.6,"Morrisons, seedless red grapes ",Morrisons ,400g ,14.11.2011 ,"Morrisons, Norwich ",17-Nov,18-Nov,1036 T29815/0310 ,Plastic ,Ambient ,Refrigerated 
744,44,"Grapes, red, raw ",44.7,The Co -operative Red Seedless Grapes ,The Co -operative ,500g ,14.11.2011 ,"The Co -operative, Earlham Green Lane, Norwich ",19-Nov,,Supplied by: M247 NEH511 ,Plastic ,Ambient ,Refrigerated 
745,44,"Grapes, red, raw ",44.8,"Iceland, red seedless grapes ",Iceland ,400g ,14.11.2011 ,"Iceland, Norwich ",18-Nov,Batch Number: 26 /438 L6 314 ,26 /438 L6 314 ,Plastic ,Ambient ,Refrigerated 
746,44,"Grapes, red, raw ",44.9,"Sainsbury’s , basics, grapes ",Sainsbury’s basics ,500g ,14.11.2011 ,,18-Nov,18-Nov,P0637G L01001/3111312 1169065 06.10 ,Plastic ,Ambient ,Refrigerated 
747,44,"Grapes, red, raw ",44.1,Market red grapes ,Pack size: ,Purchase Date: 14.11.2011 ,14.11.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
748,44,"Grapes, red, raw ",44.11,"Select Horeca, red seedless grapes ",Select Horeca ,Purchase Date: 14.11.2011 ,14.11.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: Jul No: 315 supplier code: 24272 A22624 art no: 354555 ,Jul No: 315 supplier code: 24272 A22624 art no: 354555 ,Plastic ,Ambient ,Refrigerated 
749,44,"Grapes, red, raw ",44.12,"Tesco, red seedless grapes ",Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: ,Batch Number: PLU 4023 2358 ,PLU 4023 2358 ,Plastic ,Ambient ,Refrigerated 
750,44,"Grapes, red, raw ",44.13,"Tesco, seedless red grapes ",Tesco ,500g ,23.01.201 2 ,"Tesco, Blue Boar Road, Norwich ",26-Jan,28-Jan,KN03 ,Plastic ,Ambient ,Refrigerated 
751,44,"Grapes, red, raw ",44.15,"Asda, red seedless grapes ",Asda ,500g ,23.01.2012 ,,24-Jan,24-Jan,Batch: 393707 17:15:52 supplier: 903133 ,Plastic ,Ambient ,Refrigerated 
752,,Sub-sample Number:,Sub-sample Name:,Brand:,Pack size:,Purchase Date:,Place of Purchase:,Display Until Date:,Best Before Date:,Batch Number:,Packaging:,Sample Condition As Purchased:,Post Purchase Storage:,44
753,44,"Grapes, red, raw ",,"Morrisons, seedless red grapes ",Morrisons ,400g ,23.01.2012 ,"Morrisons, Norwich ",26-Jan,27-Jan,1036 T29815/0310 ,Plastic ,Ambient ,Refrigerated 
754,44,"Grapes, red, raw ",44.18,"Waitrose, red grapes ",Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
755,44,"Grapes, red, raw ",44.19,"Oaklands, red grapes ",Oakland s ,500g ,23.01.2012 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: Lot no: L5003 A1030 ,Lot no: L5003 A1030 ,Plastic ,Ambient ,Refrig erated 
756,44,"Grapes, red, raw ",44.2,Market red seedless grapes ,Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: PLU 4023 2653 ,PLU 4023 2653 ,Plastic ,Ambient ,Refrigerated 
757,44,"Grapes, red, raw ",44.21,"Farm Fresh, mixed seedless grapes ",Farm Fresh ,,23.01.2012 ,"Booker, Norwich ",Best Before Date: ,Batch Number: 0305 TEX 44/7 ,0305 TEX 44/7 ,Plastic ,Chilled ,Refrigerated 
758,,Sub-sample Number:,Sub-sample Name:,Brand:,Pack size:,Purchase Date:,Place of Purchase:,Displa y Until Date:,,Batch Number:,Packaging:,Sample Condition As Purchased:,Post Purchase Storage:,45
759,45,"Strawberries, raw ",45.2,,Tesco Finest ,300g ,23.08.2011 ,"Tesco, Harford Bridges , Norwich ",25-Aug,Batch Number: KG20 ,KG20 ,Plastic ,Ambient ,Refrigerated 
760,45,"Strawberries, raw ",45.3,"Asda, strawberries ",Asda ,400g ,23.08.2011 ,"Asda , Norwich ",23-Aug,24-Aug,900790 141820 ASL1001831 ,Plastic ,Ambient ,Refrigerated 
761,45,"Strawberries, raw ",45.4,"Asda, strawberries ",Asda ,300g ,23.08.2011 ,"Asda , Norwich ",25-Aug,26-Aug,571045 ASL1001228 ,Plastic ,Ambient ,Refrigerated 
762,45,"Strawberries, raw ",45.5,"Sainsbury’s, British strawberries ",Asda ,400g ,23.08.2011 ,"Sainsbury’s, Longwater , Norwich ",27-Aug,27-Aug,A0800M ,,Ambient ,Refrigerated 
763,45,"Strawberries, raw ",45.6,"Morrisons, strawberries ",Morrisons ,400g ,,"Morrisons , Norwich ",25-Aug,26-Aug,1301/13 T33160/0111 ,Plastic ,Ambient ,Refrigerated 
764,45,"Strawberries, raw ",45.7,"Marks & Spencer, juicy strawberries ",Marks & Spencer ,400g ,24.08.2011 ,"Marks & Spencer , Norwich ",24-Aug,Batch Number: 4016G ,4016G ,Plastic ,Ambient ,Refrigerated 
765,45,"Strawberries, raw ",45.8,"Oaklands, British strawberries ",Oaklands ,400g ,22.08.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: 3304 W2416 ,3304 W2416 ,Plastic ,Ambient ,Refrigerated 
766,45,"Strawberries, raw ",45.9,"Tesco, Market Value, str awberries ",Tesco Market Value ,400g ,23.08.2011 ,"Tesco, Harford Bridges, Norwich ",25-Aug,Batch Number: SAD1 ,SAD1 ,Plastic ,,Refrigerated 
767,45,"Strawberries, raw ",45.1,Market strawberries ,Pack size: ,Purchase Date: 24.08.2011 ,24.08.2011 ,"Independent market stall, Norwich ",,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
768,45,"Strawberries, raw ",45.11,"Makro, strawberries ",Makro ,400g ,,"Makro, Norwich ",Best Before Date: ,Batch Number: 3306 371487 009/24265/F ,3306 371487 009/24265/F ,Plastic ,Ambient ,Refrigerated 
769,45,"Strawberries, raw ",45.12,"Tesco, strawberries ",Tesco ,227g ,14.11.2011 ,"Tesco, Harford Bridges, Norwich ",16-Nov,Batch Number: EA016 R/20 ,EA016 R/20 ,Plastic ,Ambient ,Refrigerated 
770,45,"Strawberries, raw ",45.13,"Tesco, strawberries ",Tesco ,227g ,14.11.2011 ,,16-Nov,Batch Number: EA016 R/20 ,EA016 R/20 ,Plastic ,Ambient ,Refrigerated 
771,45,"Strawberries, raw ",45.14,"Asda, strawberries ",Asda ,400g ,14.11.2011 ,"Asda, Norwich ",14-Nov,14-Nov,900851 148184 ASL1001227 ,Plast ic ,Ambient ,Refrigerated 
772,45,"Strawberries, raw ",45.16,"Sainsbury’s, strawberries ",Sainsb ury’s ,227g ,14.11.2011 ,"Sainsbury’s, Longwater, Norwich ",17-Nov,17-Nov,AO308 R/20 ,Plastic ,Ambient ,Refrigerated 
773,45,"Strawberries, raw ",45.17,"Morrisons, strawberries ",Morrisons ,227g ,14.11.2011 ,"Morrisons, Norwich ",16-Nov,17-Nov,0258/kcb 3798 T15455/0408 ,Plastic ,Ambient ,Refrigerated 
774,45,"Strawberries, raw ",45.18,"The Co -operative, strawberries ",,227g ,14.11.2011 ,"The Co -operative, Earlham Green Lane, Norwich ",15-Nov,Batch Number: M150/ASF KED212 ,M150/ASF KED212 ,Plastic ,,Refrigerated 
775,45,"Strawberries, raw ",45.19,"Aldi, British strawberries ",,227g ,14.11.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier code: 31 lot code: 4603 (3) ,Supplier code: 31 lot code: 4603 (3) ,Plastic ,Ambient ,
776,46,"Blueberries, raw ",46.2,"Tesco, blueberries ",Tesco ,150g ,23.08.2011 ,"Tesco, Harford Bridges, Norwich ",26-Aug,Batch Number: BYO5L90316 ,BYO5L90316 ,Plastic ,Ambient ,Refrigerated 
777,46,"Blueberries, raw ",46.3,"Asda, blueberries ",Asda ,150g ,23.08.2011 ,"Asda, Norwich ",26-Aug,27-Aug,141008 909094 FFP ,Plastic ,Ambient ,Refrigerated 
778,46,"Blueberries, raw ",,"Snackerries, fresh blueberries ",Snackerries ,60g ,22.08.2011 ,"Asda, Norwich ",24-Aug,24-Aug,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
779,46,"Blueberries, raw ",46.5,"Sainsbury’s, b lueberries ",Sainsbury’s ,150g ,23.08.2011 ,"Sainsbury’s, Longwater, Norwich ",24-Aug,24-Aug,A0433SC ,Plastic ,,Refrigerated 
780,,"Blueberries, raw ",46.6,"Morrisons, blueberries ",Morrisons ,225g ,23.08.2011 ,"Morrisons, Norwich ",25-Aug,26-Aug,2296 T15461/0408 ,Plastic ,Ambient ,Refrigerated 
781,46,"Blueberries, raw ",46.7,"Marks & Spence r, crisp and juicy blueberries ",Marks & Spencer ,200g ,24.08.2011 ,"Marks & Spencer, Norwich ",29-Aug,Batch Number: 2036s ,2036s ,Plastic ,,Refrigerated 
782,46,"Blueberries, raw ",46.8,"Aldi, blueberries ",Aldi ,125g ,22.08.2011 ,"Aldi, Larkman Lane, Norwich ",Best Before Date: ,"Batch Number: Supplier code: 1859 Lot code: 3401, 3402 & 3403 ","Supplier code: 1859 Lot code: 3401, 3402 & 3403 ",Plastic ,Ambient ,Refrigerated 
783,46,"Blueberries, raw ",46.9,"Sainsbury’s, basics, blueberries ",Sainsbury’s basics ,125g ,22.08.2011 ,"Sainsbury’s, Longwater, Norwich ",,24-Aug,AO800  L33 ,Plastic ,Ambient ,Refrigerated 
784,46,"Blueberries, raw ",46.1,"Berries R Us, blueberries ",Berries R Us ,110g ,24.08.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
785,46,"Blueberries, raw ",46.11,"Tesco, blueberries ",Tesco ,200g ,14.11.2011 ,"Tesco, Harford Bridges, Norwich ",18-Nov,Batch Number: BY12/A ,BY12/A ,Plastic ,Ambient ,Refrigerated 
786,46,"Blueberries, raw ",46.12,"Tesco, blueberries ",Tesco ,200g ,,"Tesco, Harford Bridges, Norwich ",18-Nov,Batch Number: BY12/A ,BY12/A ,Plastic ,Ambient ,Refrigerated 
787,46,"Blueberries, raw ",46.13,"Asda, blueberries ",Asda ,225g ,14.11.2011 ,"Asda, Norwich ",16-Nov,17-Nov,148833 900706 ,Plastic ,Ambient ,Refrigerated 
788,46,"Blueberries, raw ",46.14,"Asda, blueberries ",Asda ,150g ,14.11.2011 ,"Asda, Norwich ",16-Nov,17-Nov,148034 900852 ,Plastic ,Ambient ,Refrigerated 
789,46,"Blueberries, raw ",46.15,"Sainsbury’s, blueberries ",Sainsbury’s ,150g ,14.11.2011 ,"Sainsbur y’s, Longwater, Norwich ",17-Nov,17-Nov,A0433SC ,Plastic ,Ambient ,Refrigerated 
790,46,"Blueberries, raw ",46.16,"Morrisons, blueberries ",Morrisons ,125g ,14.11.2011 ,"Morrisons, Norwich ",15-Nov,16-Nov,1609 T15461/0408 ,Plastic ,Ambient ,Refrigerated 
791,46,"Blueberries, raw ",46.17,"The Co -operative, blueberries ",The Co -operative ,150g ,14.11.2011 ,,16-Nov,16-Nov,M150/SC KE0512 ,Plastic ,Ambient ,Refrigerated 
792,46,"Blueberries, raw ",46.18,"Aldi, blueberries ",Aldi ,125g ,14.11.2011 ,"Aldi, Dereham Road, Norwic h ",Best Before Date: ,Batch Number: Supplier code: 1859 lot code: 4602 ,Supplier code: 1859 lot code: 4602 ,Plastic ,Ambient ,Refrigerated 
793,46,"Blueberries, raw ",46.19,"Sainsbury’s, basics, blueberries ",Sainsbury’s basics ,125g ,14.11.2011 ,"Sainsbury’s, Longwater, Norwich ",17-Nov,17-Nov,AO800  L37 ,Plastic ,Ambient ,Refrigerated 
794,46,"Blueberries, raw ",46.2,Market blueberries ,Pack size: ,Purchase Date: 14.11.2011 ,14.11.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
795,46,"Blueberries, raw ",46.21,"Makro, blueberries ",Makro ,125g ,14.11.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: Art no: 370382 4505 009/24265/F ,Art no: 370382 4505 009/24265/F ,Plastic ,,Refrigerated 
796,47,"Citrus fruit, soft/easy peelers, flesh only ",47.1,"Jaffa, juicy tangerines ",Jaffa ,867g ,,"Tesco, Harford Bridges Norwich ",17-Nov,18-Nov,TC: 40303511 W.O: 42751 22:35 GO3 MZ16 ,Netting ,Ambient ,
797,,"Citrus fruit, soft/easy peelers, flesh only ",47.2,"Tesco, goodness easy peelers ",Tesco ,600g ,16.11.2011 ,"Tesco , Harford Bridges Norwich ",18-Nov,19-Nov,NU01 212 CW ,Plastic net ,Ambient ,Ambient 
798,47,"Citrus fruit, soft/easy pe elers, flesh only ",47.3,"Asda, Extra Special, loose clementines ",Asda Extra Special ,Purchase Date: 16.11.2011 ,16.11.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambient 
799,47,"Citrus fruit, soft/easy peelers, flesh only ",47.4,"Asda, c lementines ",Asda ,700g ,,"Asda, Norwich ",18-Nov,20-Nov,SDC 905269 PO 148506 08:54 1GO7 L N10 ,Netting ,Ambient ,Ambi ent 
800,47,"Citrus fruit, soft/easy peelers, f lesh only ",47.6,"Morrisons, c lementines , easy peel ",Morrisons ,500g ,16.11.2011 ,"Morrisons, Norwich ",17-Nov,19-Nov,25411 TH1 CIT2B 317 1109:46 MT cal: 4 ,Netting ,Ambient ,Ambient 
801,47,"Citrus fruit, soft/easy peelers, flesh only ",47.7,"Waitrose, loose s atsuma ",Pack size: ,Purchase Date: 16.11.2011 ,16.11.2011 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: #3029 ,#3029 ,Plastic ,Ambient ,Ambient 
802,47,"Citrus fruit, soft/easy peelers, flesh only ",47.8,"Aldi, clementines ",Aldi ,750g ,16.11.2011 ,"Aldi, Dereham Road, Norwich ",Best Before Date: ,Batch Number: 4606 E58100 supplier no.255 46/F46099222/759 17:05 2 ,4606 E58100 supplier no.255 46/F46099222/759 17:05 2 ,Netting ,Ambient ,Ambient 
803,47,"Citrus fruit, soft/easy peelers, flesh only ",47.9,"Morrisons , Value, soft citrus ",Morrisons Value ,600g ,16.11.2011 ,"Morrisons, Norwich ",15-Nov,16-Nov,25275 TH1 CIT2B 316 1108:56 IS Cal:1 ,,Ambient ,Ambient 
804,47,"Citrus fruit, soft/easy peelers, flesh only ",47.1,Gragon clementines ,Gragon ,Purchase Date: 16.11.2011 ,16.11.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
805,47,"Citrus fruit, soft/easy peelers, flesh only ",,"Farm Fresh, clementines ",Farm Fresh ,500g ,16.11.2011 ,"Booker, Norwich ",Best Before Date: ,Batch Number: 35/2 HP2 3304 ,35/2 HP2 3304 ,Netting ,Chilled ,Ambient 
806,47,"Citrus fruit, soft/easy peelers, flesh only ",47.12,"Tesco, juicy mandarins ",Tesco ,700g ,23.01.2012 ,"Tesco, Blue Boar Road, Norwich ",27-Jan,28-Jan,TC: 50306020 WO: 49446 MZ16 11:31 X03 ,Plastic net ,Ambient ,Ambi ent 
807,47,"Citrus fruit, soft/easy peelers, flesh only ",47.13,"Tesco, goodness easy peelers ",,600g ,23.01.2012 ,"Tesco, Blue Boar Road, Norwich ",27-Jan,28-Jan,DS 01 TC: 12000033 W.O: 49593 16:41 GBO1 ,Netting ,,Ambient 
808,47,"Citrus fruit, soft/easy peelers, flesh only ",47.14,"Asda, clementines ",Asda ,600g ,23.01.2012 ,"Asda, Norwich ",27-Jan,29-Jan,0603 0019 28 07 F PO 155726 PO 155725 SDC: 900003 ,,Ambient ,Ambient 
809,47,"Citrus fruit, soft/easy peelers, flesh only ",47.15,"Asda, Clemenvilla mandarins ",Asda ,700g ,23.01.2012 ,"Asda, Norwich ",27-Jan,29-Jan,0667 0019 31 10 F PO 155725 PO 155726 SDC 900003 ,Netting ,Ambient ,Ambient 
810,47,"Citrus fruit, soft/easy peelers, flesh only ",47.16,"Sainsbury’s, tangerines ",Sainsbury’s ,8 fruit ,23.01.2012 ,"Sainsbury’s, Longwater, Norwich ",26-Jan,26-Jan,53 C 0163CM ,Netting ,Ambient ,Ambient 
811,47,"Citru s fruit, soft/easy peelers, flesh only ",47.17,"Morrisons, tangerines ",Morrisons ,600g ,23.01.2012 ,"Morrisons, Norwich ",24-Jan,,33856 -TH1-CIT-05-02012RS cal: 3 ,Netting ,Ambient ,Ambient 
812,47,"Citrus fruit, soft/easy peelers, flesh only ",47.18,"The Co -operative, clem entines ",The Co -operative ,1.2kg ,23.01.2012 ,"The Co -operative, Wymondham ",Best Before Date: 30 Jan ,30-Jan,M029 (075) 03E 9 18:26 KEPA II KEP III ,Netting ,Ambient ,Ambient 
813,47,"Citrus fruit, soft/easy peelers, flesh only ",47.19,"Iceland, citrus easy peeler ",Iceland ,600g ,23.01.2012 ,"Iceland, Norwich ",28-Jan,Batch Number: 01/02 1111 019 1 6:49 1113 L7G1 ,01/02 1111 019 1 6:49 1113 L7G1 ,Netting ,Ambient ,Ambient 
814,47,"Citrus fruit, soft/easy peelers, flesh only ",47.2,"Tesco, Market Value, soft citrus ",Tesco Market Value ,1kg ,23.01.2012 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: 28 Jan ,28-Jan,L14:30 0123 18D84 EXP: A -46055992 29261 MZ 50 ,Netting ,Ambient ,Ambient 
815,47,"Citrus fruit, soft/easy peelers, flesh only ",47.21,Market satsumas ,Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Ambient 
816,47,"Citrus fruit, soft/easy peelers, flesh only ",47.22,,Farm Fresh ,500g ,23.01.2012 ,"Booker, Norwich ",Best Before Date: ,Batch Number: F10 45/4 HP2 4306 ,F10 45/4 HP2 4306 ,Netting ,,Ambient 
817,48,"Oranges, flesh only ",48.1,"Tesco, large oranges ",Tesco ,5 fruit ,21.11.201 1 ,"Tesco, Blue Boar Road, Norwich ",25-Nov,27-Nov,WO:43258 MZ16 TC:33101889 16:52 XO2 ,Netting ,Ambient ,Refrigerated 
818,48,"Oranges, flesh only ",48.3,"Asda, loose oranges ",Pack size: ,Purchase Date: 21.11.201 1 ,21.11.201 1 ,,Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambient 
819,48,"Oranges, flesh only ",48.4,"Asda, medium Navel oranges ",,6 fruits ,21.11.201 1 ,"Asda, Norwich ",Best Before Date: ,Batch Number: DP318 PO148551 900202 105530121075 ,DP318 PO148551 900202 105530121075 ,Netting ,Ambient ,Ambient 
820,48,"Oranges, flesh only ",48.6,"Morrisons, jumbo oranges, extra juicy ",Morrisons ,Purchase Date: 21.11.201 1 ,21.11.201 1 ,"Morrisons, Norwich ",24-Nov,27-Nov,26205B TH1 CIT2B 323 1107:48 IS Cal: 3 ,Netting ,Ambient ,Ambient 
821,48,"Oranges, flesh only ",,"The Co -operative, oranges ",The Co -operative ,4 fruit ,21.11.201 1 ,"The Co -operative, Wymondham ",Best Before Date: 26 Nov ,26-Nov,MO29 09: 56 1047 GIR11 KEPIII KEPII ,Netting ,Ambient ,Ambient 
822,48,"Oranges, flesh only ",48.8,"Aldi, oranges ",Aldi ,6 fruit ,21.11.201 1 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 4705 E58100 11:27 1049 L7G1 supplier no: 255 ,4705 E58100 11:27 1049 L7G1 supplier no: 255 ,Netting ,,Ambient 
823,48,"Oranges, flesh only ",48.9,"Sainsbury’s, basics, oranges ",Sainsbury’s basics ,5 fruit ,21.11.201 1 ,,29-Nov,29-Nov,CO163A ,Netting ,Ambient ,Ambient 
824,48,"Oranges, flesh only ",48.1,Market oranges ,Pack size: ,Purchase Date: 21.11.201 1 ,21.11.201 1 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packa ging: ,,Ambient ,Ambient 
825,48,"Oranges, flesh only ",48.11,"Farm Fresh, oranges ",Farm Fresh ,6 pieces ,21.11.201 1 ,"Booker, Norwich ",Best Before Date: ,Batch Number: 36/02 R.G.S.A.211.1880/V 64766M 165539 ,36/02 R.G.S.A.211.1880/V 64766M 165539 ,Netting ,Chilled ,Ambient 
826,48,"Oranges, flesh only ",48.12,"Tesco, large oranges ",Tesco ,5 fruits ,23.01.201 2 ,"Tesco, Blue Boar Road, Norwich ",26-Jan,27-Jan,MZ10 E58087 2 1701 14:44 ,Netting ,,Ambient 
827,48,"Oranges, flesh only ",48.13,"Jaffa, juicy oranges ",Jaffa ,4 fruits ,23.01.201 2 ,"Tesco, Blue Boar Road, Norwich ",28-Jan,29-Jan,MZ 2 E 58087 16:07 616 70583 ,Netting ,Ambient ,Ambient 
828,48,"Oranges, flesh only ",,"Asda, Fairtrade oranges ",Asda ,5 fruit ,23.01.201 2 ,"Asda, Norwich ",27-Jan,29-Jan,460862 FFLM0069 ,Netting ,Ambient ,Ambient 
829,48,"Oranges, flesh only ",48.15,"Asda, loose oranges ",Pack size: ,Purchase Date: 23.01.201 2 ,23.01.201 2 ,,Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambient 
830,48,"Oranges, flesh only ",48.16,"Sainsbury’s, oranges ",Sainsbury’s ,5 fruit ,23.01.201 2 ,"Sainsbury’s, Longwater, Norwich ",31-Jan,31-Jan,C 0163CM 09 ,Netting ,Ambient ,Ambient 
831,48,"Oranges, flesh only ",48.17,"Morrisons, jumbo oranges, extra juicy ",Morrisons ,Purchase Date: 23.01.201 2 ,23.01.201 2 ,"Morrisons, Norwich ",25-Jan,28-Jan,33843B TH1 CIT2B 02012 06:39 IS Cal: 2 ,Netting ,Ambient ,Ambient 
832,48,"Oranges, flesh only ",48.18,"Waitrose, loose oranges ",Pack size: ,Purchase Date: 23.01.201 2 ,23.01.201 2 ,"Waitrose, Wymondham ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Ambient 
833,48,"Oranges, flesh only ",48.19,"Lidl, XXL oranges ",Lidl ,2kg ,23.01.201 2 ,"Lidl, Norwich ",Best Before Date: ,Batch Number:  W-0385 7204 0508 12:45  L -0303 Cat.I Cal. 2/4 ,W-0385 7204 0508 12:45  L -0303 Cat.I Cal. 2/4 ,Netting ,Ambient ,Ambient 
834,48,"Oranges, flesh only ",,"Tesco, Market Value, oranges ",Tesco Market Value ,6 fruits ,23.01.201 2 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: 27 Jan ,27-Jan,,Netting ,Ambient ,Refrigerated 
835,48,"Oranges, flesh only ",48.21,Market oranges ,Pack size: ,Purchase Date: 23.01.201 2 ,23.01.201 2 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Ambient 
836,48,"Oranges, flesh only ",,"Select Horeca, oranges ",Select Horeca ,2kg ,23.01.201 2 ,"Makro, Norwich ",Best Before Date: ,Batch Number:   Jul No: 019  supplier co de: 24272  A22624  art no. 354550 ,Jul No: 019  supplier co de: 24272  A22624  art no. 354550 ,Netting ,Ambient ,Ambient 
837,49,"Melon, yellow flesh, flesh only ",49.1,"Tesco, Honeydew melon ",Tesco ,Purchase Date: 30.08.2011 ,30.08.2011 ,"Tesco, Harford Bridges, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
838,49,"Melon, yellow flesh, flesh only ",49.2,"Tesco, Honeydew melon ",Tesco ,Purchase Date: 30.08.2011 ,30.08.2011 ,"Tesco, Harford Bridges, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
839,49,"Melon, yellow flesh, flesh only ",49.3,"Asda, large Honeydew melon ",Asda ,,30.08.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number:  905084 ,905084,None ,Ambient ,Refrigerated 
840,49,"Melon, yellow flesh, flesh on ly ",49.4,"Asda, Honeydew melon ",Asda ,Purchase Date: 30.08.2011 ,30.08.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number:  905084 ,905084,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
841,,Sub-sample Number:,Sub-sample Name:,Brand:,Pack size:,Purchase Date:,Place of Purchase:,Display Until Date:,Best Before Date:,Batch Number:,Packaging:,Sample Condition As Purchased:,Post Purchase Storage:,49
842,49,"Melon, yellow flesh, flesh only ",49.6,"Morrisons, Honeydew melon chunks ",Morrisons ,400g ,30.08.2011 ,"Morrisons, Norwich ",Use By Date: 01 Sep ,,00:44 1471 T32345/1110 ,Plastic ,,Refrigerated 
843,49,"Melon, yellow flesh, flesh only ",49.7,"Marks & Sp encer, perfectly ripe Honeydew melon ",Marks & Spencer ,Purchase Date: 30.08.2011 ,30.08.2011 ,"Marks & Spencer, Norwich ",04/05 Sep ,Batch Number:  1826 ,1826,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
844,49,"Melon, yellow flesh, flesh only ",49.8,"Lidl, honeydew melon ",Pack size: ,Purchase Date: 30.08.2011 ,30.08.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
845,49,"Melon, yellow flesh, flesh only ",49.9,Market H oneydew melon ,Pack size: ,Purchase Date: 30.08.2011 ,30.08.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: C.I.F. B -54543269 ,C.I.F. B -54543269 ,Sample Condition As Purchased: Ambient ,Ambient ,Refrigerated 
