,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
111,8,"Carrots, old, raw ",8.1,Market carro ts ,Pack size: ,Purchase Date: 10.10.2011 ,10.10.2011 ,"Independent market s tall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
112,8,"Carrots , old, raw ",8.11,"Makro , carrots ",Makro ,2kg ,10.10.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: Date Code: 280 Art No:369860 supp no:24477 ,Date Code: 280 Art No:369860 supp no:24477 ,Plastic ,Ambient ,Refrigerated 
113,8,"Carrots, old, raw ",8.12,"Tesco , loose carrots ",Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Tesco, Blue Boar Road , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
114,8,"Carrots, old, raw ",8.13,"Tesco , carrot batons ",Tesco ,670g ,23.01.2012 ,"Tesco, Blue Boar Road, Norwich ",Use By Date: 26 Jan ,,15:06 10 ,Plastic ,,Refrigerated 
115,8,"Carrots, old, raw ",8.14,"Asda , loose carrots ",Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Asda , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
116,8,"Carrots, old, raw ",8.15,,Asda ,500g ,23.01.2012 ,"Asda, Norwich ",Best Before Date: ,Batch Number: 06:50 020 845020 ,06:50 020 845020 ,Plastic ,Ambient ,Refrigerated 
117,8,"Carrots, old, r aw ",8.17,"Morrisons , loose carrots ",Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Morrisons, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
118,8,"Carrots, old, raw ",8.18,"The Co -operative , carrots ",The Co -operative ,1.2kg ,23.01.2012 ,"The Co-operative, Wymondham ",Best Before Date: 26 Jan ,26-Jan,M208A 019 4  12:48  263 ,Plastic ,Ambient ,Refrigerated 
119,8,"Carrots, old, raw ",8.19,"Iceland , carrots ",Iceland ,1kg ,23.01.2012 ,"Iceland, Norwich ",26-Jan,Batch Number: 469 L6 019 ,469 L6 019 ,Plastic ,Ambient ,Refrigerated 
120,8,"Carrots, old, raw ",8.2,"Morrisons , Savers carrots ",Morrisons Savers ,1.5kg ,23.01.2012 ,"Morrisons, Norwich ",26-Jan,28-Jan,13759 RD1 -CAR 2B02112 ZP  06:14 ,Plastic ,Ambient ,
121,8,"Carrots, old, raw ",8.21,Market carrots ,Pack size: ,Purchase Date: 23.01.2012 ,23.01.2012 ,"Independent market s tall, Norwich ",,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
122,8,"Carrots, old, raw ",8.22,"Farm Fresh , carrots ",Farm Fresh ,2kg ,23.01.2012 ,"Booker, Norwich ",Best Before Date: ,Batch Number: 45/2  A22511 ,45/2  A22511 ,Plastic ,Refrigerated ,Refrigerated 
123,9,"Carrots, old, boiled ",9.2,"Tesco , East Anglian carrots ",Tesco ,1kg ,10.10.2011 ,"Tesco, Blue Boar , Norwich ",12-Oct,13-Oct,Supplier Code D1 ABC 08 -50 ,Plastic ,Ambient ,Refrigerated 
124,9,"Carrots, old, boiled ",9.3,"Asda , fresh tastes, bumper carrot batons ",Asda fresh tastes ,600g ,10.10.2011 ,"Asda , Norwich ",13-Oct,,281 12:22 A ,Plastic ,Ambient ,Refrigerated 
