Product Name,Weight,Packaging Details,Country,Food Group,Food_Category,Super_Category,Weight_Value,Weight_Unit,Normalized_Weight,Normalized_Unit
panzani coquillettes 3 minutes 500g,500 g,"Enveloppe, Paquet, Film en plastique, Sachet plastique",France,Cereals,Nuts and seeds,Plant-based foods,500.0,g,500.0,g
maccheroni,500g,"Scatola,Cartone,Pacchetto,Cartoncino,de:Packung(en), Film","Österreich,Belgien,Frankreich,Deutschland,Niederlande,Schweiz",Cereals,Uncategorized,Other,500.0,g,500.0,g
milled chia seeds,200 g,Plastic,"Royaume-Uni,en:united-kingdom",Cereals,Nuts and seeds,Plant-based foods,200.0,g,200.0,g
super berry granola,500 g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,500.0,g,500.0,g
apple berry no added sugar granola,425g,Unknown Packaging,en:United Kingdom,Cereals,Sugars and confectionery,Processed foods,425.0,g,425.0,g
aromatic fluffy basmati rice 250g pack,250g,"Tesco Ireland Ltd., Gresham House, Marine Road, Dun Laoghaire, Co. Dublin. O Tesco 2021. SC22420-001","France,United Kingdom,Ireland",Cereals,Uncategorized,Other,250.0,g,250.0,g
crunchy oat granola tropical fruits,750g,,"France, Indonesia, en:united-kingdom",Cereals,Fruit,Plant-based foods,750.0,g,750.0,g
tilda coconut basmati rice,250g,"Pack, Mixed plastic-packet","Australia,France,United Kingdom,New Zealand",Cereals,Nuts and seeds,Plant-based foods,250.0,g,250.0,g
cheerios original,2 x 1 lb 4.35 oz (20.35 oz) (576 g),"en:Cardboard,Caja","Bolivia,Estados Unidos",Cereals,Uncategorized,Other,453.592,g,453.592,g
protein granola apricot cranberry,400 g,en:mixed plastic film-bag,"United Kingdom,Ireland",Cereals,Uncategorized,Other,400.0,g,400.0,g
rice pops,375g,"Card-box, Cardboard box, en:mixed plastic film-packet",en:United Kingdom,Cereals,Uncategorized,Other,375.0,g,375.0,g
multigrain hoops,375 g,,United Kingdom,Cereals,Uncategorized,Other,375.0,g,375.0,g
