,Food Code,Food Name,Group,Super Group,Sale format(s)
372,17-702,Piccalilli,WCN,"Soups, sauces and miscellaneous foods",jar
373,17-354,"Relish, tomato based",WCN,"Soups, sauces and miscellaneous foods",jar
374,17-711,"Soup, minestrone, canned",WA,"Soups, sauces and miscellaneous foods",can
375,17-695,"Soup, chicken, cream of, canned",WAC,"Soups, sauces and miscellaneous foods",can
376,17-652,"Soup, cream of tomato, canned",WAC,"Soups, sauces and miscellaneous foods",can
377,17-698,"Soup, lentil, canned",WAC,"Soups, sauces and miscellaneous foods",can
378,17-700,"Soup, oxtail, canned",WAC,"Soups, sauces and miscellaneous foods",can
379,17-712,"Soup, vegetable, canned",WAC,"Soups, sauces and miscellaneous foods",can
380,17-653,"Soup, instant, dried, as purchased",WAE,"Soups, sauces and miscellaneous foods",can
381,17-628,"Sauce, Chinese cook in, sweet & sour",WC,"Soups, sauces and miscellaneous foods",
382,17-629,"Sauce, Chinese stir fry",WC,"Soups, sauces and miscellaneous foods",
383,17-703,Salad cream,WCG,"Soups, sauces and miscellaneous foods",
384,,"Sauce, sweet and sour, retail",WCN,"Soups, sauces and miscellaneous foods",jar
385,17-721,"Soy sauce, light and dark varieties",WCN,"Soups, sauces and miscellaneous foods",
386,17-367,Salt,WY,"Soups, sauces and miscellaneous foods",
387,17-515,"Stock cubes, beef",WY,"Soups, sauces and miscellaneous foods",
388,17-680,Stock gel,WY,"Soups, sauces and miscellaneous foods",
389,17-681,"Stock, chicken, ready made, retail",WY,"Soups, sauces and miscellaneous foods",
390,17-339,Vinegar,WY,"Soups, sauces and miscellaneous foods",
391,,"White sauce, retial",WCD,"Soups, sauces and miscellaneous foods",jar
392,,"White sauce, Vegan, retial",WCD,"Soups, sauces and miscellaneous foods",jar
393,17-723,Worcestershire sauce,WCN,"Soups, sauces and miscellaneous foods",
394,17-377,"Water, distilled",WY,"Soups, sauces and miscellaneous foods",
