,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Weight,PurEqualCon,Portion Consumed,Source
90,11-544,"scotch pancakes, retail",AS,Cereals and cereal products,,0.5439839155777908,190g,Y,,
91,11-921,"pie, apple, pastry, double crust, retail",AS,Cereals and cereal products,,0.3385752204786134,,,,
92,11-847,"pie, fruit, individual, retail",AS,Cereals and cereal products,,0.5369543932784537,480g,Y,large,
93,,"pudding, sponge, retail",AS,Cereals and cereal products,,0.7927944247351262,300g,Y,whole,
94,11-1021,"pudding, sponge, canned",AS,Cereals and cereal products,,1.0,300g,Y,whole,
95,,prawn crackers,AT,Cereals and cereal products,packet,1.0000000000000002,30g/40g,Y,per bag,
96,11-866,"rice, brown, basmati, raw",AC,Cereals and cereal products,packet,0.5921497608588739,300g,Y,1 packet made up,
97,11-870,"rice, brown, easy cook, raw",AC,Cereals and cereal products,packet,0.5921497608588739,300g,Y,1 packet made up,
98,11-874,"rice, thai fragrant, raw",AC,Cereals and cereal products,packet,0.7511364968034292,300g,Y,1 packet made up,
99,11-863,"rice, white, long grain, easy cook, raw",AC,Cereals and cereal products,packet,0.6005814104112043,300g,Y,1 packet made up,
100,11-940,rusks,AK,Cereals and cereal products,,0.0,,,,
101,,"risotto, plain",AT,Cereals and cereal products,,0.7027630100176375,45g,Y,,
102,11-903,"semolina, raw",AA,Cereals and cereal products,,0.3749892289879656,,,,
103,,"sandwich, white bread,",AB,Cereals and cereal products,,0.4011213995076771,,,,
104,,"sandwich, brown bread",AB,Cereals and cereal products,,0.46774192391041497,,,,
105,11-802,shortbread,AM,Cereals and cereal products,wrapper or box,0.45633700239884967,,,,
106,11-544,"scotch pancakes, retail",AP,Cereals and cereal products,,0.5439839155777908,190g,Y,,
107,11-919,"strudel, fruit filled, retail, frozen",AS,Cereals and cereal products,,0.5764954213870053,600g,Y,6 servings,
108,17-371,"stuffing mix, dried",AT,Cereals and cereal products,,0.7071067811865476,100g,Y,per bag,
109,11-800,"wafers, plain ice cream wafers, not filled",AM,Cereals and cereal products,,0.6146762011980232,60g,Y,tub,
110,,yorkshire pudding,AT,Cereals and cereal products,,0.6104136327598235,300g,Y,whole,
111,12-937,"eggs, chicken, whole, raw",CA,Eggs,"egg box, 6, 10, 12, 30",0.42126808490583295,,,,
112,12-949,"quiche, vegetable, retail",CD,Eggs,"small individual, large sharing",0.5356753423042451,210g/440g,Y,can,
113,17-487,"dripping, beef",OF,Fats and oils,jar,0.6300236984151741,198g,Y,1 small can,
114,17-010,lard,OF,Fats and oils,block,0.0,,,,
115,17-031,"oil, coconut",OC,Fats and oils,jar,0.44851736683170385,,,,
116,17-039,"oil, palm",OC,Fats and oils,bottle,0.6552556056428058,200g,Y,1 small can,
117,17-044,"oil, soya",OC,Fats and oils,bottle,0.4742554136987429,120g,Y,,
118,17-045,"oil, sunflower",OC,Fats and oils,bottle,0.6552556056428058,200g,Y,1 small can,
119,17-686,"oil, vegetable, average",OC,Fats and oils,bottle,0.4068509764450056,,,,
120,16-001,"ayr, raw",JA,Fish and fish products,,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
121,,"anchovies, canned in oil,",JC,Fish and fish products,tin,0.6899271409532682,200g,Y,1 small can,
122,16-385,"bass, sea, flesh only, raw",JA,Fish and fish products,fillet,0.38882124272100155,,,,
123,16-003,"bele, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
124,16-004,"boal, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
125,16-005,bombay duck,JA,Fish and fish products,,0.5416681533364661,125g,Y,,
126,16-006,"bream, sea, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
127,16-169,"bacha, raw",JC,Fish and fish products,fillet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
128,16-372,"cod, flesh only, raw",JA,Fish and fish products,fillet,0.638165670961456,170g,Y,"in sauce, purchased, frozen",
129,16-172,"carp, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
130,16-007,"catfish, raw",JA,Fish and fish products,fillet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
