,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Source,Similarity Score,Weight,PurEqualCon,Portion Consumed
235,13-818,coriander leaves dried,H,Herbs and spices,spice jar,,0,,,
236,13-889,cumin seeds,H,Herbs and spices,spice jar,,0,,,
237,13-876,curry powder,H,Herbs and spices,spice jar,,0.480905348,,,
238,13-824,dill fresh,H,Herbs and spices,bunch,,0,,,
239,13-829,garam masala,H,Herbs and spices,spice jar,,0,,,
240,13-830,garlic powder,H,Herbs and spices,spice jar,,0.565405342,,,
241,13-890,ginger fresh,H,Herbs and spices,"loose, individual",,0,,,
242,13-832,ginger ground,H,Herbs and spices,spice jar,,0,,,
243,13-835,marjoram dried,H,Herbs and spices,spice jar,,0,,,
244,13-836,mint fresh,H,Herbs and spices,bunch,,0.493221163,,,
245,13-886,mixed curry spices,H,Herbs and spices,spice jar,,0.358754345,,,
246,13-884,mixed herbs dried,H,Herbs and spices,spice jar,,0.489168364,,,
247,13-839,mustard seeds,H,Herbs and spices,spice jar,,0.786442736,5g,Y,I sachet
248,13-877,nutmeg ground,H,Herbs and spices,spice jar,,0,,,
249,13-878,oregano dried ground,H,Herbs and spices,spice jar,,0,,,
250,13-879,paprika,H,Herbs and spices,spice jar,,0,,,
251,13-844,parsley fresh,H,Herbs and spices,bunch,,0,,,
252,13-880,pepper black,H,Herbs and spices,,,0,,,
253,13-892,rosemary fresh,H,Herbs and spices,bunch,,0,,,
254,13-852,saffron,H,Herbs and spices,spice jar,,0,,,
255,13-854,sage dried ground,H,Herbs and spices,spice jar,,0,,,
256,19-646,bacon rashers back fat trimmed,MAA,Meat and meat products,,,0.572956802,,,
257,18-006,beef braising steak,MAC,Meat and meat products,,,0.712174765,213g,Y,small
258,18-003,beef fat average,MAC,Meat and meat products,,,0.433520854,,,
259,18-016,beef fillet steak,MAC,Meat and meat products,,,0.712174765,213g,Y,small
260,18-024,beef flank,MAC,Meat and meat products,,,0.585931837,,,
261,18-468,beef average,MAC,Meat and meat products,,,0.515059442,,,
262,18-469,beef mince,MAC,Meat and meat products,,,0.585931837,,,
263,18-054,beef silverside,MAC,Meat and meat products,,,0.585931837,,,
264,18-064,beef sirloin steak,MAC,Meat and meat products,,,0.712174765,213g,Y,small
265,18-084,beef topside,MAC,Meat and meat products,,,0.585931837,,,
266,18-504,chicken breast/steak coated baked,MCA,Meat and meat products,,,0.451651181,,,
267,18-501,chicken pieces coated takeaway,MCA,Meat and meat products,,,0.422763578,,,
268,18-293,chicken leg quarter meat and skin,MCA,Meat and meat products,,,0.255726033,,,
269,18-488,chicken meat average,MCA,Meat and meat products,,,0.413878646,,,
270,18-297,chicken whole meat and skin,MCA,Meat and meat products,,,0.291563258,,,
271,18-295,chicken wing quarter meat and skin,MCA,Meat and meat products,,,0.255726033,,,
272,18-503,chicken/turkey pieces coated baked,MCA,Meat and meat products,,,0.359787394,,,
273,19-538,chicken slices,MI,Meat and meat products,,,0.596379781,,,
274,19-516,chorizo,MI,Meat and meat products,,,0,,,
275,19-128,corned beef,MI,Meat and meat products,tin,,0.879845734,198g,Y,1 small can
276,19-449,curry chicken balti,MR,Meat and meat products,,,0.381627567,,,
277,,casserole sausage,MR,Meat and meat products,,,0.773614661,55g,Y,small can
278,,chow mein chicken,MR,Meat and meat products,,,0.626979911,480g,Y,large
279,19-466,cornish pasty,MR,Meat and meat products,,,0,,,
280,,coronation chicken,MR,Meat and meat products,,,0.626979911,480g,Y,large
281,18-489,duck meat only,MCC,Meat and meat products,,,0.458384033,,,
282,19-539,doner kebabs meat only,MR,Meat and meat products,,,0.458384033,,,
283,,enchiladas meal kit,MR,Meat and meat products,,,0.403839793,,,
284,17-640,ghee butter,OF,Meat and meat products,,,0.589588112,,,
285,19-496,ham,MAA,Meat and meat products,,,0,,,
286,,haggis,MI,Meat and meat products,,,0,,,
287,,hot pot lamb/beef with potatoes,MR,Meat and meat products,,,0.340175277,,,
288,18-402,kidney lamb,MG,Meat and meat products,,,0.338305483,,,
289,18-478,lamb average and fat,MAE,Meat and meat products,,,0.300473087,,,
290,18-111,lamb breast,MAE,Meat and meat products,,,0,,,
291,18-115,lamb chump chops and fat,MAE,Meat and meat products,,,0.30436962,,,
292,18-481,lamb mince,MAE,Meat and meat products,,,0,,,
293,18-413,liver lamb,MG,Meat and meat products,,,0,,,
294,,luncheon meat,MI,Meat and meat products,,,0.458384033,,,
295,19-326,meat samosas takeaway,MR,Meat and meat products,,,0.458384033,,,
296,,meatballs beef,MR,Meat and meat products,,,0.585931837,,,
297,,meatballs in tomatoe sauce,MR,Meat and meat products,,,0.629858788,170g,Y,"frozen, purchased"
298,18-419,oxtail,MG,Meat and meat products,,,0,,,
299,18-609,pork spare ribs and fat,MAG,Meat and meat products,,,0.386630871,,,
300,18-387,rabbit meat only,MEC,Meat and meat products,,,0.458384033,,,
301,18-390,venison meat only,MEE,Meat and meat products,,,0.458384033,,,
302,12-500,baking fat and margarine (75-90% fat) hard block,BTM,Milk and milk products,block,,0.434350782,,,
303,12-333,cream fresh whipping,BJC,Milk and milk products,tub,,0.577829605,,,
304,12-537,cheese spread reduced fat,BL,Milk and milk products,tub,,0.393369437,,,
305,12-346,cheese cheddar english,BL,Milk and milk products,block,,0.450274572,,,
306,12-354,cheese danish blue,BL,Milk and milk products,tub,,0.464350268,,,
307,12-357,cheese goats milk full fat soft white rind,BL,Milk and milk products,,,0.349548993,,,
308,12-360,cheese mozzarella fresh,BL,Milk and milk products,,,0.450274572,,,
309,12-549,cheese processed slices reduced fat,BL,Milk and milk products,,,0.448958044,,,
310,12-486,cheese white cheshire,BL,Milk and milk products,,,0.30693723,,,
311,12-507,cornetto type ice cream cone,BP,Milk and milk products,box,,0.818542351,60g,Y,tub
312,12-542,cheesecake fruit individual,BR,Milk and milk products,,,0.919092227,90g,Y,individual
313,12-461,tarts custard individual,BR,Milk and milk products,,,0.577162487,,,
314,12-543,custard ready to eat and tetra-pak,BR,Milk and milk products,can,,0.512438138,,,
315,12-398,desserts dairy chocolate,BR,Milk and milk products,,,0.540714418,,,
316,12-508,ice cream dairy vanilla soft scoop,BP,Milk and milk products,,,0.575678793,,,
317,12-509,ice cream non dairy vanilla soft scoop,BP,Milk and milk products,,,0.575678793,,,
318,,jelly,BR,Milk and milk products,,,0.563462035,,,
319,12-373,lassi sweetened,BN,Milk and milk products,bottle,,0,,,
320,12-390,lollies containing ice-cream,BP,Milk and milk products,,,0.818542351,60g,Y,tub
321,12-389,lollies with real fruit juice,BP,Milk and milk products,,,0.418837955,,,
322,12-512,milk 1% fat pasteurised,BA,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,0.413767287,,,
323,12-322,milk channel islands whole summer,BAB,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,0.501101912,,,
324,12-307,milk skimmed pasteurised average,BAE,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,0.720252179,50g,Y,average
325,12-313,milk semi-skimmed pasteurised average,BAH,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,0.720252179,50g,Y,average
326,12-596,milk whole pasteurised average,BAK,Milk and milk products,"bottle 1 pint, 2 pint, 4 pint, 6 pint, carton 1 litre",,0.478533937,,,
327,12-520,milk condensed whole sweetened,BAR,Milk and milk products,tin,,0.501101912,,,
328,12-522,milk evaporated whole,BAR,Milk and milk products,tin,,0.680189051,170g,Y,1 small can
329,12-524,milk soya non-dairy alternative to milk unsweetened fortified,BC,Milk and milk products,"carton, 1L",,0.522278978,,,
330,12-401,mousse chocolate low fat,BR,Milk and milk products,,,0.547610119,,,
331,12-553,pudding rice low fat,BR,Milk and milk products,tin,,0.382477519,,,
332,,raita,BV,Milk and milk products,,,0,,,
333,12-555,yogurt greek style,BN,Milk and milk products,,,0.485297972,,,
334,12-375,yogurt whole milk fruit,BN,Milk and milk products,,,0.554630149,,,
335,14-870,almonds flaked and ground,GA,Nuts and seeds,packet,,0.402969643,,,
336,14-897,almonds toasted,GA,Nuts and seeds,packet,,0,,,
337,14-896,almonds whole kernels,GA,Nuts and seeds,packet,,0.59642214,,,
338,14-895,breadnut seeds dried,G,Nuts and seeds,packet,,0,,,
339,14-806,betel nuts,GA,Nuts and seeds,packet,,0.61509463,47g,Y,packet
340,14-813,chestnuts kernel only,GA,Nuts and seeds,packet,,0,,,
341,14-889,coconut milk,GA,Nuts and seeds,carton/tetrapak,,0.595809262,,,
342,14-874,hazelnuts kernel only,GA,Nuts and seeds,packet,,0,,,
343,14-891,macadamia nuts salted,G,Nuts and seeds,packet,,0.426273206,,,
344,14-875,marzipan white and yellow,GA,Nuts and seeds,packet,,0.285290392,,,
345,14-880,nuts mixed,GA,Nuts and seeds,packet,,0.549852105,,,
