,Food Code,Food Name,Group,Super Group
63,11-801,"Biscuits, plain, reduced fat",AM,Cereals and cereal products
64,11-826,"Breadsticks, plain",AM,Cereals and cereal products
65,11-1029,"Banana bread, homemade",AN,Cereals and cereal products
66,11-1127,"Brownies, chocolate, homemade",AN,Cereals and cereal products
67,11-970,"Bagels, plain",AP,Cereals and cereal products
68,11-1038,"Bread pudding, homemade",AS,Cereals and cereal products
69,12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,Milk and milk products
70,13-532,"Baked beans, canned in tomato sauce",DB,Vegetables
71,13-041,"Beans, aduki, whole, dried, raw",DB,Vegetables
72,13-062,"Beans, blackeye, whole, dried, raw",DB,Vegetables
73,13-070,"Beans, butter, dried, raw",DB,Vegetables
74,13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,Vegetables
75,13-080,"Beans, cluster, raw",DB,Vegetables
76,13-667,"Beans, edamame, frozen, boiled in unsalted water",DB,Vegetables
77,13-514,"Beans, green, raw",DB,Vegetables
78,13-086,"Beans, haricot, whole, dried, raw",DB,Vegetables
79,13-098,"Beans, mung, dahl, dried, raw",DB,Vegetables
80,13-102,"Beans, pigeon peas, whole, dried, raw",DB,Vegetables
81,13-106,"Beans, pinto, dried, raw",DB,Vegetables
82,13-109,"Beans, red kidney, dried, raw",DB,Vegetables
83,13-112,"Beans, runner, raw",DB,Vegetables
84,13-115,"Beans, soya, dried, raw",DB,Vegetables
85,13-117,"Beans, sword, raw",DB,Vegetables
86,13-426,"Beansprouts, mung, raw",DB,Vegetables
87,13-056,"Black gram, urad gram, whole, dried, raw",DB,Vegetables
88,13-164,"Beetroot, raw",DG,Vegetables
89,13-167,"Breadfruit, raw",DG,Vegetables
90,13-502,"Broccoli, green, raw",DG,Vegetables
91,13-174,"Broccoli, purple sprouting, raw",DG,Vegetables
92,13-177,"Brussels sprouts, raw",DG,Vegetables
93,15-664,"Bean loaf, mixed beans, homemade",DR,Vegetables
94,15-667,"Beanburger, red kidney bean, fried in rapeseed oil",DR,Vegetables
95,15-669,"Bhaji, aubergine and potato, homemade",DR,Vegetables
96,15-672,"Bhaji, cabbage and pea, with butter ghee, homemade",DR,Vegetables
97,15-676,"Bhaji, carrot, potato and pea, with butter, homemade",DR,Vegetables
98,15-703,"Bubble and squeak, fried in sunflower oil, homemade",DR,Vegetables
99,14-364,"Blackberry and apple, stewed without sugar",F,Fruit
100,14-043,"Babaco, flesh only",FA,Fruit
101,14-318,"Bananas, flesh only",FA,Fruit
102,14-388,"Blackberries, raw",FA,Fruit
103,14-053,"Blackcurrants, raw",FA,Fruit
104,14-325,Blueberries,FA,Fruit
105,14-895,"Breadnut seeds, dried",G,Nuts and Seeds
106,14-806,Betel nuts,GA,Nuts and Seeds
107,13-805,"Basil, dried, ground",H,Herbs and Spices
108,13-804,"Basil, fresh",H,Herbs and Spices
109,16-385,"Bass, sea, flesh only, raw",JA,Fish and Fish Products
110,16-003,"Bele, raw",JA,Fish and Fish Products
111,16-004,"Boal, raw",JA,Fish and Fish Products
112,16-005,Bombay duck,JA,Fish and Fish Products
113,16-006,"Bream, Sea, raw",JA,Fish and Fish Products
114,16-169,"Bacha, raw",JC,Fish and Fish Products
115,19-646,"Bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products
116,18-006,"Beef, braising steak, raw, lean",MAC,Meat and meat products
117,18-003,"Beef, fat, average, raw",MAC,Meat and meat products
118,18-016,"Beef, fillet steak, raw, lean",MAC,Meat and meat products
119,18-024,"Beef, flank, raw, lean",MAC,Meat and meat products
120,18-028,"Beef, fore-rib/rib-roast, raw, lean",MAC,Meat and meat products
121,18-468,"Beef, lean, average, raw",MAC,Meat and meat products
122,18-469,"Beef, mince, raw",MAC,Meat and meat products
123,18-043,"Beef, rump steak, raw, lean",MAC,Meat and meat products
124,18-054,"Beef, silverside, raw, lean",MAC,Meat and meat products
125,18-064,"Beef, sirloin steak, raw, lean",MAC,Meat and meat products
126,18-076,"Beef, stewing steak, raw, lean",MAC,Meat and meat products
127,18-084,"Beef, topside, raw, lean",MAC,Meat and meat products
128,18-392,"Brain, lamb, boiled",MG,Meat and meat products
129,19-113,"Black pudding, raw",MI,Meat and meat products
130,17-685,"Butter, salted",OA,Fats and Oils
131,17-661,"Butter, unsalted",OA,Fats and Oils
132,17-001,"Butteroil, unsalted",OB,Fats and Oils
133,17-823,"Build up, powder, shake, assorted flavours",PAA,Beverages
134,17-743,"Barley water, undiluted",PCC,Beverages
135,17-737,"Blackcurrant juice drink/squash, undiluted",PCC,Beverages
136,17-208,"Beer, bitter, best, premium",QA,Alcoholic beverages
137,17-766,Bounty bar and own brand equivalents,SEA,"Sugars, preserves and snacks"
138,17-764,Bombay mix,SN,"Sugars, preserves and snacks"
139,17-770,"Bouillabaisse, homemade",WAA,"Soups, sauces and miscellaneous foods"
140,17-769,"Barbecue sauce, homemade",WC,"Soups, sauces and miscellaneous foods"
141,17-771,"Bread sauce, made with skimmed milk, homemade",WCD,"Soups, sauces and miscellaneous foods"
142,17-705,Barbecue sauce,WCN,"Soups, sauces and miscellaneous foods"
143,17-678,"Brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods"
144,17-355,Baking powder,WY,"Soups, sauces and miscellaneous foods"
145,17-514,Beef extract,WY,"Soups, sauces and miscellaneous foods"
146,17-356,Bicarbonate of soda,WY,"Soups, sauces and miscellaneous foods"
147,11-011,"Cornmeal, sifted",AA,Cereals and cereal products
148,11-1138,Custard powder,AA,Cereals and cereal products
149,11-987,"Chapatis, made with fat, retail",AF,Cereals and cereal products
150,11-988,Croissants,AG,Cereals and cereal products
151,11-916,Cake rusks,AM,Cereals and cereal products
152,11-819,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified",AM,Cereals and cereal products
153,11-824,"Cheese straws/twists, retail",AM,Cereals and cereal products
154,11-820,Cream crackers,AM,Cereals and cereal products
155,11-822,"Crispbread, rye",AM,Cereals and cereal products
156,11-832,"Cake, sponge, soft iced, retail",AN,Cereals and cereal products
157,11-840,Cakes from 'healthy eating' ranges,AN,Cereals and cereal products
158,11-839,"Cakes, fancy iced, individual, retail",AN,Cereals and cereal products
159,11-989,"Crumpets, toasted",AP,Cereals and cereal products
160,11-1020,"Crumble, fruit, retail",AS,Cereals and cereal products
161,11-997,"Cheese and onion rolls, pastry, retail",AT,Cereals and cereal products
162,11-901,"Couscous, plain, raw",AT,Cereals and cereal products
163,12-545,Cocoa powder,BH,Milk and milk products
164,12-592,"Cream, fresh, clotted",BJC,Milk and milk products
165,12-332,"Cream, fresh, single",BJC,Milk and milk products
166,12-333,"Cream, fresh, whipping",BJC,Milk and milk products
167,12-339,"Cream, dairy, UHT, half fat, canned spray",BJP,Milk and milk products
168,12-537,"Cheese spread, plain, reduced fat",BL,Milk and milk products
169,12-346,"Cheese, Cheddar, English",BL,Milk and milk products
170,12-550,"Cheese, cottage, plain, reduced fat",BL,Milk and milk products
171,12-354,"Cheese, Danish blue",BL,Milk and milk products
172,12-357,"Cheese, goats milk, full fat, soft, white rind",BL,Milk and milk products
173,12-360,"Cheese, Mozzarella, fresh",BL,Milk and milk products
174,12-549,"Cheese, processed, slices, reduced fat",BL,Milk and milk products
175,12-486,"Cheese, White Cheshire",BL,Milk and milk products
176,12-507,Cornetto type ice cream cone,BP,Milk and milk products
177,12-542,"Cheesecake, fruit, individual",BR,Milk and milk products
178,12-519,"Custard, made up with semi-skimmed milk",BR,Milk and milk products
179,13-582,"Cabbage, average, raw",DG,Vegetables
180,13-187,"Cabbage, Chinese, raw",DG,Vegetables
181,13-510,"Cabbage, green, raw",DG,Vegetables
182,13-190,"Cabbage, red, raw",DG,Vegetables
183,13-509,"Cabbage, white, raw",DG,Vegetables
184,13-496,"Carrots, old, raw",DG,Vegetables
185,13-448,"Carrots, young, raw",DG,Vegetables
186,13-512,"Cauliflower, raw",DG,Vegetables
187,13-219,"Celeriac, raw",DG,Vegetables
188,13-636,"Celery, raw",DG,Vegetables
189,13-223,"Chard, Swiss, raw",DG,Vegetables
190,13-225,"Chicory, pale variety, raw",DG,Vegetables
191,13-627,"Courgette, raw",DG,Vegetables
192,13-234,"Curly kale, raw",DG,Vegetables
193,13-668,"Courgette, dried",DI,Vegetables
194,15-638,"Casserole, vegetable, homemade",DR,Vegetables
195,15-637,"Cauliflower cheese, retail",DR,Vegetables
196,15-719,"Chilli, bean and lentil, homemade",DR,Vegetables
197,15-635,"Coleslaw, not low calorie, retail",DR,Vegetables
198,15-748,"Curry, chick pea, UK type, homemade",DR,Vegetables
199,15-752,"Curry, egg, in sweet sauce, UK type, homemade",DR,Vegetables
200,15-146,"Curry, red kidney bean, Punjabi, homemade",DR,Vegetables
201,14-382,"Cherries, flesh and skin, raw",FA,Fruit
202,14-326,"Citrus fruit, soft/easy peelers, flesh only",FA,Fruit
203,14-073,Cranberries,FA,Fruit
204,14-074,Currants,FA,Fruit
205,14-813,"Chestnuts, kernel only, raw",GA,Nuts and Seeds
206,14-889,"Coconut milk, retail",GA,Nuts and Seeds
207,13-808,Caraway seeds,H,Herbs and Spices
208,13-809,"Cardamom, ground",H,Herbs and Spices
209,13-810,Celery seeds,H,Herbs and Spices
210,13-811,"Chervil, dried",H,Herbs and Spices
211,13-873,Chilli powder,H,Herbs and Spices
212,13-813,Chinese 5 spice,H,Herbs and Spices
213,13-887,"Chives, fresh",H,Herbs and Spices
214,13-874,"Cinnamon, ground",H,Herbs and Spices
215,13-816,"Cloves, dried",H,Herbs and Spices
216,13-818,"Coriander leaves, dried",H,Herbs and Spices
217,13-889,Cumin seeds,H,Herbs and Spices
218,13-876,Curry powder,H,Herbs and Spices
219,16-428,"Cod, in batter, fried in sunflower oil, takeaway",J,Fish and Fish Products
220,16-172,"Carp, raw",JA,Fish and Fish Products
221,16-007,"Catfish, raw",JA,Fish and Fish Products
222,16-011,"Chital, raw",JA,Fish and Fish Products
223,16-373,"Cod, flesh only, baked",JA,Fish and Fish Products
224,16-429,"Coley, flesh only, baked",JA,Fish and Fish Products
225,16-452,"Crab, canned in brine, drained",JK,Fish and Fish Products
226,16-441,"Crab, purchased cooked",JK,Fish and Fish Products
227,16-235,"Crayfish, raw",JK,Fish and Fish Products
228,16-404,"Calamari, coated in batter, baked",JM,Fish and Fish Products
229,16-252,"Cockles, boiled",JM,Fish and Fish Products
230,16-254,"Cuttlefish, raw",JM,Fish and Fish Products
231,16-272,"Caviare, bottled in brine, drained",JR,Fish and Fish Products
232,18-504,"Chicken breast/steak, coated, baked",MCA,Meat and meat products
233,18-501,"Chicken pieces, coated, takeaway",MCA,Meat and meat products
234,18-293,"Chicken, leg quarter, raw, meat and skin",MCA,Meat and meat products
235,18-488,"Chicken, meat, average, raw",MCA,Meat and meat products
236,18-297,"Chicken, whole, raw, meat and skin",MCA,Meat and meat products
237,18-295,"Chicken, wing quarter, raw, meat and skin",MCA,Meat and meat products
238,18-503,"Chicken/turkey pieces, coated, baked",MCA,Meat and meat products
239,19-538,Chicken slices,MI,Meat and meat products
240,19-516,Chorizo,MI,Meat and meat products
241,19-128,"Corned beef, canned",MI,Meat and meat products
242,19-296,"Curry, chicken tikka masala, retail, reheated",MIG,Meat and meat products
243,19-484,"Casserole, sausage, homemade",MR,Meat and meat products
244,19-321,"Chow mein, chicken, takeaway",MR,Meat and meat products
245,19-466,"Cornish pasty, retail",MR,Meat and meat products
246,19-477,"Coronation chicken, homemade",MR,Meat and meat products
247,17-002,Cocoa butter,OE,Fats and Oils
248,17-632,"Coffee, cappuccino, latte",P,Beverages
249,17-175,Cola,PCA,Beverages
250,17-744,Cranberry fruit juice drink,PE,Beverages
251,17-224,"Cider, sweet",QC,Alcoholic beverages
252,17-659,Chocolate spread,SC,"Sugars, preserves and snacks"
253,17-658,Chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks"
254,17-763,Creme egg,SEA,"Sugars, preserves and snacks"
255,17-645,Corn snacks,SN,"Sugars, preserves and snacks"
256,17-782,"Chevda/chevra/chewra, homemade",SNC,"Sugars, preserves and snacks"
257,17-697,"Chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods"
258,17-719,Chilli sauce,WC,"Soups, sauces and miscellaneous foods"
259,17-773,"Cheese sauce, made with skimmed milk, homemade",WCD,"Soups, sauces and miscellaneous foods"
260,17-345,"Chutney, tomato",WCG,"Soups, sauces and miscellaneous foods"
261,17-358,Cream of tartar,WY,"Soups, sauces and miscellaneous foods"
262,11-850,"Doughnuts, ring, iced",AP,Cereals and cereal products
263,11-849,"Doughnuts, with jam",AP,Cereals and cereal products
264,11-962,"Dumplings, homemade",AT,Cereals and cereal products
265,12-398,"Desserts, dairy, chocolate",BR,Milk and milk products
266,14-077,"Damsons, flesh and skin, raw",FA,Fruit
267,14-083,"Dates, raw, flesh and skin",FA,Fruit
268,14-087,Dried mixed fruit,FA,Fruit
269,13-824,"Dill, fresh",H,Herbs and Spices
270,18-489,"Duck, meat only, raw",MCC,Meat and meat products
271,19-539,"Doner kebabs, meat only",MR,Meat and meat products
272,17-487,"Dripping, beef",OF,Fats and Oils
273,17-498,"Drinking chocolate, powder",PAA,Beverages
274,17-715,"Dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods"
275,17-701,"Dressing, French",WCG,"Soups, sauces and miscellaneous foods"
276,17-717,"Dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods"
277,12-937,"Eggs, chicken, whole, raw",CA,Eggs
278,14-089,"Elderberries, whole fruit",FA,Fruit
279,16-173,"Eel, yellow, raw",JC,Fish and fish products
280,19-586,"Enchiladas, beef, homemade",MR,Meat and meat products
281,17-672,"Energy drink, carbonated",PCA,Beverages
282,11-899,"Flour, gari (cassava flour)",AA,Cereals and cereal products
283,11-886,"Flour, wheat, white, plain, soft",AA,Cereals and cereal products
284,11-805,Fig Rolls,AM,Cereals and cereal products
285,11-814,"Flapjacks, retail",AM,Cereals and cereal products
286,12-528,"Fromage frais, virtually fat free, natural",BN,Milk and milk products
287,12-232,"Fruit fool, homemade",BR,Milk and milk products
288,13-241,"Fennel, Florence, raw",DG,Vegetables
289,13-243,"Fenugreek leaves, raw",DG,Vegetables
290,15-804,"Flan, vegetable, homemade",DR,Vegetables
291,15-807,"Fu-fu, yam, homemade",DR,Vegetables
292,14-091,"Figs, whole green fruit, raw",FA,Fruit
293,14-336,"Fruit cocktail, canned in juice, whole contents",FA,Fruit
294,14-333,"Fruit salad, homemade",FA,Fruit
295,16-405,"Fish fingers, cod, grilled/baked",JR,Fish and fish products
296,16-458,"Fishcakes, cod, homemade",JR,Fish and fish products
297,19-495,Frankfurter,MI,Meat and meat products
298,19-131,"Faggots in gravy, retail, reheated",MR,Meat and meat products
299,17-735,"Fruit juice drink, carbonated, ready to drink",PCA,Beverages
300,17-738,"Fruit juice drink/squash, undiluted",PCC,Beverages
301,17-107,Fruit gums/jellies,SEC,"Sugars, preserves and snacks"
302,17-824,Fruit pastilles,SEC,"Sugars, preserves and snacks"
303,17-683,"Fudge, homemade",SEC,"Sugars, preserves and snacks"
304,11-1079,"Gingerbread, homemade",AN,Cereals and cereal products
305,12-502,Ghee made from vegetable oil,BTM,Milk and milk products
306,13-244,"Garlic, raw",DG,Vegetables
307,13-245,"Gherkins, raw",DG,Vegetables
308,13-608,"Green beans, dried",DI,Vegetables
309,14-100,"Gooseberries, cooking, raw",FA,Fruit
310,14-384,"Grapefruit, flesh only, raw",FA,Fruit
311,14-322,"Grapes, green",FA,Fruit
312,14-118,"Guava, flesh only, raw",FA,Fruit
313,13-829,Garam masala,H,Herbs and spices
314,13-830,Garlic powder,H,Herbs and spices
315,13-890,"Ginger, fresh",H,Herbs and spices
316,13-832,"Ginger, ground",H,Herbs and spices
317,17-640,"Ghee, butter",OF,Meat and meat products
318,17-745,"Grape juice, unsweetened",PE,Beverages
319,17-049,"Glucose liquid, BP",SC,"Sugars, preserves and snacks"
320,17-797,"Guacamole, homemade",WC,"Soups, sauces and miscellaneous foods"
321,17-360,Gelatine,WY,"Soups, sauces and miscellaneous foods"
322,17-724,Gravy instant granules,WY,"Soups, sauces and miscellaneous foods"
323,11-1084,"Hot cross buns, homemade",AP,Cereals and cereal products
324,13-556,Houmous,DB,Vegetables
325,13-258,"Horseradish, raw",DG,Vegetables
326,14-874,"Hazelnuts, kernel only",GA,Nuts and seeds
327,16-375,"Haddock, flesh only, raw",JA,Fish and fish products
328,16-070,"Hake, flesh only, raw",JA,Fish and fish products
329,19-496,Ham,MAA,Meat and meat products
330,19-132,"Haggis, boiled",MI,Meat and meat products
331,19-522,"Hot pot, lamb/beef with potatoes, retail, reheated",MR,Meat and meat products
332,17-731,"Horlicks, powder",PAA,Beverages
333,17-050,Honey,SC,"Sugars, preserves and snacks"
334,17-800,"Hollandaise sauce, homemade",WC,"Soups, sauces and miscellaneous foods"
335,12-508,"Ice cream, dairy, vanilla, soft scoop",BP,Milk and milk products
336,12-509,"Ice cream, non dairy, vanilla, soft scoop",BP,Milk and milk products
337,17-783,"Icing, butter, homemade",S,"Sugars, preserves and snacks"
338,17-689,"Ice cream sauce, topping, strawberry and chocolate flavours",SC,"Sugars, preserves and snacks"
339,11-739,Jaffa cakes,AM,Cereals and cereal products
340,11-846,"Jam tarts, retail",AS,Cereals and cereal products
341,12-516,"Jelly, sugar free, made with water",BR,Milk and milk products
342,17-075,"Jam, reduced sugar",SC,"Sugars, preserves and snacks"
343,12-605,"Knickerbocker glory, homemade",BP,Milk and milk products
344,12-606,"Kulfi, homemade",BP,Milk and milk products
345,13-261,"Kohl rabi, raw",DG,Vegetables
346,15-809,Khadhi,DR,Vegetables
347,14-371,"Kiwi fruit, flesh only, raw",FA,Fruit
348,14-125,"Kumquats, whole fruit, raw",FA,Fruit
349,16-081,"Kalabasu, raw",JA,Fish and fish products
350,16-186,"Katla, raw",JA,Fish and fish products
351,16-397,"Kippers, flesh only, grilled",JC,Fish and fish products
352,18-402,"Kidney, lamb, raw",MG,Meat and meat products
353,12-373,"Lassi, sweetened",BN,Milk and milk products
354,12-390,"Lollies, containing ice-cream",BP,Milk and milk products
355,12-389,"Lollies, with real fruit juice",BP,Milk and milk products
356,13-089,"Lentils, green and brown, whole, dried, raw",DB,Vegetables
357,13-624,"Leeks, raw",DG,Vegetables
358,13-520,"Lettuce, average, raw",DG,Vegetables
359,13-271,"Lotus tubers, raw",DG,Vegetables
360,15-651,"Lasagne, vegetable, retail",DR,Vegetables
361,14-128,"Lemons, whole, without pips",FA,Fruit
362,14-131,"Limes, flesh only",FA,Fruit
363,14-133,"Loganberries, raw",FA,Fruit
364,14-278,"Lemon juice, fresh, weighed as whole fruit",FC,Fruit
365,16-332,"Lobster, boiled",JK,Fish and fish products
366,18-478,"Lamb, average, raw, lean and fat",MAE,Meat and meat products
367,18-111,"Lamb, breast, raw, lean",MAE,Meat and meat products
368,18-115,"Lamb, chump chops, raw, lean and fat",MAE,Meat and meat products
369,18-481,"Lamb, mince, raw",MAE,Meat and meat products
370,18-413,"Liver, lamb, raw",MG,Meat and meat products
371,19-136,"Luncheon meat, Chinese, steamed",MI,Meat and meat products
372,17-010,Lard,OF,Fats and oils
373,17-179,Lemonade,PCA,Beverages
374,17-761,Lucozade,PCA,Beverages
375,17-751,"Lager, premium",QA,Beverages
376,17-244,"Liqueurs, high strength",QI,Beverages
377,17-777,Liquorice allsorts,SEC,"Sugars, preserves and snacks"
378,11-001,Arrowroot,AA,Cereals and cereal products
379,13-145,"Ackee, canned, drained",DG,Vegetables
380,13-146,"Agar, dried",DG,Vegetables
381,13-148,"Alfalfa sprouts, raw",DG,Vegetables
382,13-149,"Amaranth leaves, raw",DG,Vegetables
383,13-151,"Arrowhead, raw",DG,Vegetables
384,13-153,"Artichoke, globe, raw",DG,Vegetables
385,13-157,"Asparagus, raw",DG,Vegetables
386,13-161,"Aubergine, raw",DG,Vegetables
387,15-001,"Aubergine, stuffed with lentils and vegetables",DR,Vegetables
388,15-662,"Aubergine, stuffed with rice",DR,Vegetables
389,15-663,"Aubergine, stuffed with vegetables, cheese topping",DR,Vegetables
390,14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",F,Fruit
391,14-001,Amla,FA,Fruit
392,14-025,"Apricots, raw, flesh and skin",FA,Fruit
393,14-392,"Apricots, ready-to-eat, semi-dried",FA,Fruit
394,14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",FA,Fruit
395,14-387,"Avocado, Hass, flesh only, weighed with skin and stone",FA,Fruit
396,14-331,"Apple juice, clear, ambient and chilled",FC,Fruit
397,14-870,"Almonds, flaked and ground",GA,Nuts and Seeds
398,14-897,"Almonds, toasted",GA,Nuts and Seeds
399,14-896,"Almonds, whole kernels",GA,Nuts and Seeds
400,13-801,"Allspice, ground",H,Herbs and Spices
401,13-802,Anise seeds,H,Herbs and Spices
402,13-803,Asafoetida,H,Herbs and Spices
403,16-001,"Ayr, raw",JA,Fish and Fish Products
404,16-448,"Anchovies, canned in oil, drained",JC,Fish and Fish Products
405,14-272,"Apple juice concentrate, unsweetened, commerical",PE,Beverages
406,17-851,"Apple sauce, homemade",WC,"Soups, sauces and miscellaneous foods"
407,11-002,"Barley, pearl, raw",AA,Cereals and cereal products
408,11-906,"Bran, wheat",AA,Cereals and cereal products
409,11-006,"Buckwheat, groats",AA,Cereals and cereal products
410,11-1144,"Bread rolls, brown, crusty",AF,Cereals and cereal products
411,11-1006,"Bread rolls, white, soft",AF,Cereals and cereal products
412,11-971,"Bread, brown, average",AF,Cereals and cereal products
413,11-969,"Bread, ciabatta",AF,Cereals and cereal products
414,11-937,"Bread, garlic and herb, retail",AF,Cereals and cereal products
415,11-910,"Bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products
416,11-973,"Bread, naan, retail",AF,Cereals and cereal products
417,11-974,"Bread, pitta, white",AF,Cereals and cereal products
418,11-947,"Bread, seeded",AF,Cereals and cereal products
419,11-1145,"Bread, white, average",AF,Cereals and cereal products
420,11-977,"Bread, white, farmhouse or split tin",AF,Cereals and cereal products
421,11-978,"Bread, white, French stick",AF,Cereals and cereal products
422,11-980,"Bread, white, sliced",AF,Cereals and cereal products
423,11-1001,"Bread, white, toasted",AF,Cereals and cereal products
424,11-981,"Bread, wholemeal, average",AF,Cereals and cereal products
425,11-983,"Bread rolls, brown, soft",AG,Cereals and cereal products
426,11-984,"Bread rolls, malted wheat",AG,Cereals and cereal products
427,11-985,"Bread rolls, white, crusty",AG,Cereals and cereal products
428,11-986,"Bread rolls, wholemeal",AG,Cereals and cereal products
429,11-763,"Breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products
430,11-742,"Breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products
431,11-779,"Breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products
432,11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",AI,Cereals and cereal products
433,11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products
434,11-753,"Breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products
435,11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle",AI,Cereals and cereal products
436,11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified",AI,Cereals and cereal products
437,11-821,"Biscuits, cheese flavoured",AM,Cereals and cereal products
438,11-815,"Biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products
439,11-799,"Biscuits, digestive, plain",AM,Cereals and cereal products
440,11-809,"Biscuits, fully coated with chocolate",AM,Cereals and cereal products
441,11-801,"Biscuits, plain, reduced fat",AM,Cereals and cereal products
442,11-826,"Breadsticks, plain",AM,Cereals and cereal products
443,11-1029,"Banana bread, homemade",AN,Cereals and cereal products
444,11-1127,"Brownies, chocolate, homemade",AN,Cereals and cereal products
445,11-970,"Bagels, plain",AP,Cereals and cereal products
446,11-1038,"Bread pudding, homemade",AS,Cereals and cereal products
447,12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,Milk and milk products
448,13-532,"Baked beans, canned in tomato sauce",DB,Vegetables
449,13-041,"Beans, aduki, whole, dried, raw",DB,Vegetables
450,13-062,"Beans, blackeye, whole, dried, raw",DB,Vegetables
451,13-070,"Beans, butter, dried, raw",DB,Vegetables
452,13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,Vegetables
453,13-080,"Beans, cluster, raw",DB,Vegetables
454,13-667,"Beans, edamame, frozen, boiled in unsalted water",DB,Vegetables
455,13-514,"Beans, green, raw",DB,Vegetables
456,13-086,"Beans, haricot, whole, dried, raw",DB,Vegetables
457,13-098,"Beans, mung, dahl, dried, raw",DB,Vegetables
458,13-102,"Beans, pigeon peas, whole, dried, raw",DB,Vegetables
459,13-106,"Beans, pinto, dried, raw",DB,Vegetables
460,13-109,"Beans, red kidney, dried, raw",DB,Vegetables
461,13-112,"Beans, runner, raw",DB,Vegetables
462,13-115,"Beans, soya, dried, raw",DB,Vegetables
463,13-117,"Beans, sword, raw",DB,Vegetables
464,13-426,"Beansprouts, mung, raw",DB,Vegetables
465,13-056,"Black gram, urad gram, whole, dried, raw",DB,Vegetables
466,13-164,"Beetroot, raw",DG,Vegetables
467,13-167,"Breadfruit, raw",DG,Vegetables
468,13-502,"Broccoli, green, raw",DG,Vegetables
469,13-174,"Broccoli, purple sprouting, raw",DG,Vegetables
470,13-177,"Brussels sprouts, raw",DG,Vegetables
471,15-664,"Bean loaf, mixed beans, homemade",DR,Vegetables
472,15-667,"Beanburger, red kidney bean, fried in rapeseed oil",DR,Vegetables
473,15-669,"Bhaji, aubergine and potato, homemade",DR,Vegetables
474,15-672,"Bhaji, cabbage and pea, with butter ghee, homemade",DR,Vegetables
475,15-676,"Bhaji, carrot, potato and pea, with butter, homemade",DR,Vegetables
476,15-703,"Bubble and squeak, fried in sunflower oil, homemade",DR,Vegetables
477,14-364,"Blackberry and apple, stewed without sugar",F,Fruit
478,14-043,"Babaco, flesh only",FA,Fruit
479,14-318,"Bananas, flesh only",FA,Fruit
480,14-388,"Blackberries, raw",FA,Fruit
481,14-053,"Blackcurrants, raw",FA,Fruit
482,14-325,Blueberries,FA,Fruit
483,14-895,"Breadnut seeds, dried",G,Nuts and Seeds
484,14-806,Betel nuts,GA,Nuts and Seeds
485,13-805,"Basil, dried, ground",H,Herbs and Spices
486,13-804,"Basil, fresh",H,Herbs and Spices
487,16-385,"Bass, sea, flesh only, raw",JA,Fish and Fish Products
488,16-003,"Bele, raw",JA,Fish and Fish Products
489,16-004,"Boal, raw",JA,Fish and Fish Products
490,16-005,Bombay duck,JA,Fish and Fish Products
491,16-006,"Bream, Sea, raw",JA,Fish and Fish Products
492,16-169,"Bacha, raw",JC,Fish and Fish Products
493,19-646,"Bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products
494,18-006,"Beef, braising steak, raw, lean",MAC,Meat and meat products
495,18-003,"Beef, fat, average, raw",MAC,Meat and meat products
496,18-016,"Beef, fillet steak, raw, lean",MAC,Meat and meat products
497,18-024,"Beef, flank, raw, lean",MAC,Meat and meat products
498,18-028,"Beef, fore-rib/rib-roast, raw, lean",MAC,Meat and meat products
499,18-468,"Beef, lean, average, raw",MAC,Meat and meat products
500,18-469,"Beef, mince, raw",MAC,Meat and meat products
501,18-043,"Beef, rump steak, raw, lean",MAC,Meat and meat products
502,18-054,"Beef, silverside, raw, lean",MAC,Meat and meat products
503,18-064,"Beef, sirloin steak, raw, lean",MAC,Meat and meat products
504,18-076,"Beef, stewing steak, raw, lean",MAC,Meat and meat products
505,18-084,"Beef, topside, raw, lean",MAC,Meat and meat products
506,18-392,"Brain, lamb, boiled",MG,Meat and meat products
507,19-113,"Black pudding, raw",MI,Meat and meat products
508,17-685,"Butter, salted",OA,Fats and Oils
