,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
199,14-813,"Chestnuts, kernel only, raw",GA,Nuts and seeds,packet,
200,14-889,"Coconut milk, retail",GA,Nuts and seeds,carton/tetrapak,
201,13-808,Caraway seeds,H,Herbs and spices,spice jar,
202,13-809,"Cardamom, ground",H,Herbs and spices,spice jar,
203,13-810,Celery seeds,H,Herbs and spices,spice jar,
204,13-811,"Chervil, dried",H,Herbs and spices,spice jar,
205,13-873,Chilli powder,H,Herbs and spices,spice jar,
206,13-813,Chinese 5 spice,H,Herbs and spices,spice jar,
207,13-887,"Chives, fresh",H,Herbs and spices,bunch,
208,13-874,"Cinnamon, ground",H,Herbs and spices,spice jar,
209,13-816,"Cloves, dried",H,Herbs and spices,spice jar,
210,13-818,"Coriander leaves, dried",H,Herbs and spices,spice jar,
211,13-889,Cumin seeds,H,Herbs and spices,spice jar,
212,13-876,Curry powder,H,Herbs and spices,spice jar,
213,16-428,"Cod, in batter, fried in sunflower oil, takeaway",J,Fish and fish products,fillet,
214,16-172,"Carp, raw",JA,Fish and fish products,fillet,
215,16-007,"Catfish, raw",JA,Fish and fish products,fillet,
216,16-011,"Chital, raw",JA,Fish and fish products,fillet,
217,16-373,"Cod, flesh only, baked",JA,Fish and fish products,fillet,
218,16-429,"Coley, flesh only, baked",JA,Fish and fish products,fillet,
219,16-452,"Crab, canned in brine, drained",JK,Fish and fish products,tin,
220,16-441,"Crab, purchased cooked",JK,Fish and fish products,,
221,16-235,"Crayfish, raw",JK,Fish and fish products,,
222,16-404,"Calamari, coated in batter, baked",JM,Fish and fish products,,
223,16-252,"Cockles, boiled",JM,Fish and fish products,,
224,16-254,"Cuttlefish, raw",JM,Fish and fish products,,
225,16-272,"Caviare, bottled in brine, drained",JR,Fish and fish products,"tin, jar",
226,18-504,"Chicken breast/steak, coated, baked",MCA,Meat and meat products,,
227,18-501,"Chicken pieces, coated, takeaway",MCA,Meat and meat products,,
228,18-293,"Chicken, leg quarter, raw, meat and skin",MCA,Meat and meat products,,
229,18-488,"Chicken, meat, average, raw",MCA,Meat and meat products,,
230,18-297,"Chicken, whole, raw, meat and skin",MCA,Meat and meat products,,
231,18-295,"Chicken, wing quarter, raw, meat and skin",MCA,Meat and meat products,,
232,18-503,"Chicken/turkey pieces, coated, baked",MCA,Meat and meat products,,
233,19-538,Chicken slices,MI,Meat and meat products,,
234,19-516,Chorizo,MI,Meat and meat products,,
235,19-128,"Corned beef, canned",MI,Meat and meat products,tin,
236,19-296,"Curry, chicken tikka masala, retail, reheated",MIG,Meat and meat products,,
237,19-484,"Casserole, sausage, homemade",MR,Meat and meat products,,
238,19-321,"Chow mein, chicken, takeaway",MR,Meat and meat products,,
239,19-466,"Cornish pasty, retail",MR,Meat and meat products,,
240,19-477,"Coronation chicken, homemade",MR,Meat and meat products,,
241,17-002,Cocoa butter,OE,Fats and oils,,
242,17-632,"Coffee, cappuccino, latte",P,Beverages,,
243,17-175,Cola,PCA,Beverages,"can, ready to drink bottle, sharing bottle",
244,17-744,Cranberry fruit juice drink,PE,Beverages,"carton, tetrapak, bottle",
