Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
15-529,"Khichadi, with vegetable oil",Recipe. Mung bean and rice dish.,DR,15-184 ,Recipe as VGD 15-184,,61.0,0.79,4.8,5.2,27.0,169,712,26.6,,0.2,Tr,,Tr,0.1,0.0,0.0,,1.4,,,0.76,,,,,,,,2.46,,,,1.64,,,,,,Tr,0.0,Unknown,Unknown
15-186,"Lasagne, spinach, wholemeal, homemade",Recipe from dietary survey records,DR,,As Vegetable Dishes Supplement 1992,,77.0,0.70,4.2,3.1,13.0,93,395,10.9,0.0,2.2,0.5,0.0,0.4,0.3,0.2,0.7,,2.3,,,1.30,,,,,,,,0.80,,,,0.60,,,,,,,6.0,Unknown,Unknown
15-651,"Lasagne, vegetable, retail",8 assorted samples; cooked in conventional and microwave ovens according to packet directions,DR,15-189 ,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,72.6,0.77,4.8,5.3,13.4,117,492,9.0,Tr,4.4,0.7,0.0,0.7,0.2,1.6,1.2,0.0,N,N,,N,,,,,,,,N,,,,N,,,,,,N,N,Unknown,Unknown
15-188,"Lasagne, vegetable, wholemeal, homemade",Recipe from dietary survey records,DR,,As Vegetable Dishes Supplement 1992,,75.5,0.80,4.8,4.6,12.4,106,447,9.4,Tr,3.0,0.8,0.0,0.7,0.3,0.1,1.0,,2.1,,,2.20,,,,,,,,1.20,,,,0.80,,,,,,,9.0,Unknown,Unknown
15-190,Laverbread,6 samples; cooked pureed seaweed coated in oatmeal,DR,,"MW4, 1978",,87.7,0.51,3.2,3.7,1.6,52,217,1.6,0.0,Tr,Tr,0.0,Tr,Tr,0.0,0.0,,N,,,N,,,,,,,,N,,,,N,,,,,,,0.0,Unknown,Unknown
15-813,"Leeks in cheese sauce, made with semi-skimmed milk, homemade","Recipe, proportions derived from recipe review",DR,15-533 ,Updated 2014,,83.6,0.64,4.0,5.5,4.6,82,343,1.8,,2.6,0.4,,0.5,0.3,0.0,1.4,0.0,1.1,1.4,,3.22,,,,,,,,1.32,,,,0.38,,,,,,0.20,14.0,Unknown,Unknown
15-814,"Leeks in cheese sauce, made with skimmed milk, homemade","Recipe, proportions derived from recipe review",DR,15-534 ,Updated 2014,,84.0,0.64,4.0,5.0,4.6,79,328,1.8,,2.6,0.4,,0.5,0.3,0.0,1.4,0.0,1.1,1.4,,2.94,,,,,,,,1.22,,,,0.38,,,,,,0.18,13.4,Unknown,Unknown
15-815,"Leeks in cheese sauce, made with whole milk, homemade","Recipe, proportions derived from recipe review",DR,15-532 ,Updated 2014,,83.1,0.63,4.0,6.0,4.5,87,364,1.8,,2.5,0.4,,0.5,0.3,0.0,1.4,0.0,1.1,1.2,,3.59,,,,,,,,1.49,,,,0.41,,,,,,0.22,15.9,Unknown,Unknown
15-200,"Lentil and nut roast, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,51.6,1.83,10.6,12.1,18.8,222,929,15.4,0.6,2.7,N,0.0,N,N,N,0.0,,3.8,,,1.80,,,,,,,,5.80,,,,3.70,,,,,,,0.0,Unknown,Unknown
15-201,"Lentil and nut roast, with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,52.9,1.85,10.8,12.1,17.6,218,914,14.5,0.6,2.6,N,0.0,N,N,N,0.0,,3.6,,,1.90,,,,,,,,5.80,,,,3.60,,,,,,,26.0,Unknown,Unknown
